,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,MOS
src07_hrc13.avi,4,3,3,4,3,4,3,4,5,3,4,3,3,2,3,4,4,3,4,3,5,3,3,5,3.541666667
src07_hrc14.avi,3,3,2,2,2,4,2,2,3,2,3,2,2,1,2,4,3,3,1,2,2,2,2,2,2.333333333
src07_hrc15.avi,2,2,2,3,1,1,1,1,1,2,2,1,1,1,2,2,1,2,1,1,3,1,1,1,1.5
src08_hrc00.avi,5,5,4,5,5,5,5,5,5,5,5,5,4,4,5,4,3,5,5,5,5,5,4,5,4.708333333
src08_hrc01.avi,4,5,4,5,5,5,5,5,5,4,5,5,4,5,5,4,4,4,4,5,4,5,4,5,4.583333333
src08_hrc02.avi,5,4,3,4,4,4,5,3,5,4,5,4,4,4,4,4,4,4,4,5,4,5,3,5,4.166666667
src08_hrc03.avi,4,3,2,3,3,2,2,2,3,2,3,3,2,2,3,3,3,3,2,3,3,2,1,2,2.541666667
src08_hrc04.avi,3,1,1,1,1,2,2,1,2,1,2,2,1,2,2,2,1,2,1,2,1,1,1,1,1.5
src08_hrc05.avi,3,4,3,4,2,3,1,3,3,3,3,3,3,2,4,3,3,3,2,2,5,3,3,3,2.958333333
src08_hrc06.avi,2,3,1,2,1,2,1,1,1,2,2,1,2,1,2,2,1,2,1,2,1,1,1,1,1.5
src08_hrc07.avi,2,4,1,3,2,2,1,2,2,2,3,2,2,1,3,3,1,3,1,2,2,1,2,3,2.083333333
src08_hrc08.avi,2,4,2,4,1,1,1,2,1,3,3,2,2,1,3,4,1,3,1,1,1,1,2,1,1.958333333
src08_hrc09.avi,4,5,4,5,5,5,5,5,5,5,5,5,4,4,4,4,5,4,5,5,5,5,3,5,4.625
src08_hrc10.avi,2,3,2,2,2,4,3,3,3,2,3,3,2,2,3,3,3,3,1,3,3,2,1,2,2.5
src08_hrc11.avi,2,3,1,2,3,3,2,2,4,1,3,2,2,2,3,3,2,3,1,5,3,2,1,2,2.375
src08_hrc12.avi,4,5,4,5,3,5,5,4,5,5,4,4,4,4,5,4,5,4,5,5,5,5,2,4,4.375
src08_hrc13.avi,3,4,2,4,3,5,4,3,4,4,3,4,3,3,4,4,4,3,3,4,4,4,3,4,3.583333333
src08_hrc14.avi,2,3,2,3,3,4,2,3,4,3,2,3,3,1,3,3,4,3,3,3,2,3,3,3,2.833333333
src08_hrc15.avi,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,2,1,1,1.333333333
src09_hrc00.avi,5,5,4,5,5,5,5,5,5,5,4,5,4,4,5,4,4,5,4,5,5,5,3,5,4.625
src09_hrc01.avi,4,5,2,5,3,5,4,4,4,4,4,4,3,3,4,4,4,3,4,5,5,5,3,5,4
src09_hrc02.avi,4,5,1,4,3,5,3,5,4,4,4,3,3,3,4,4,4,4,4,5,4,2,2,3,3.625
src09_hrc03.avi,3,3,1,4,2,3,1,3,2,2,3,2,2,2,2,4,2,2,2,3,3,2,2,2,2.375
src09_hrc04.avi,2,2,1,2,1,2,1,1,1,1,2,1,1,2,2,3,1,2,1,2,2,1,2,1,1.541666667
src09_hrc05.avi,3,4,2,4,2,1,1,2,3,2,3,2,3,2,2,3,2,3,2,2,3,2,2,2,2.375
src09_hrc06.avi,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1.166666667
src09_hrc07.avi,3,3,2,3,1,1,1,2,1,1,2,2,2,1,4,2,3,3,1,1,3,1,2,1,1.916666667
src09_hrc08.avi,2,4,1,2,1,1,1,2,1,1,2,1,2,1,2,3,1,3,1,1,2,1,2,1,1.625
src09_hrc09.avi,3,5,2,5,3,4,3,4,5,4,3,3,3,3,4,4,4,3,3,4,4,4,3,5,3.666666667
src09_hrc10.avi,2,4,1,3,2,3,2,2,3,2,2,2,2,2,3,3,1,3,2,4,3,2,2,1,2.333333333
src09_hrc11.avi,4,3,1,3,2,4,2,3,2,2,2,3,2,2,4,4,3,2,2,4,1,2,2,2,2.541666667
src09_hrc12.avi,4,5,3,4,3,4,4,4,4,4,3,3,3,4,4,4,3,4,5,5,2,2,3,5,3.708333333
src09_hrc13.avi,4,4,2,3,2,5,2,3,4,3,3,3,3,3,4,4,5,3,4,5,4,2,2,3,3.333333333
src09_hrc14.avi,3,3,1,3,2,4,2,2,3,2,2,2,2,2,3,4,3,3,3,4,3,2,2,4,2.666666667
src09_hrc15.avi,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1.125
src11_hrc00.avi,5,5,4,4,5,4,4,5,4,5,5,5,5,4,5,4,4,4,5,4,5,5,4,5,4.541666667
src11_hrc01.avi,2,2,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,2,1,1,1,2,1.291666667
src11_hrc04.avi,3,3,2,3,3,4,2,3,3,2,4,3,3,3,3,3,4,3,3,4,3,4,2,4,3.083333333
src11_hrc08.avi,3,4,2,3,3,3,2,3,3,2,4,3,3,3,3,4,3,3,3,3,3,3,1,3,2.916666667
src11_hrc11.avi,4,4,2,3,3,5,2,4,4,4,3,3,4,3,3,3,3,4,3,4,2,4,2,4,3.333333333
src11_hrc12.avi,4,4,3,4,4,5,2,4,4,4,4,5,4,4,4,4,5,5,4,5,5,4,3,4,4.083333333
src12_hrc00.avi,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,4.791666667
src12_hrc01.avi,3,4,3,4,4,5,3,5,2,4,4,2,3,3,4,4,5,4,5,4,5,4,3,4,3.791666667
src12_hrc03.avi,3,3,2,3,3,4,2,2,3,2,4,2,2,2,3,3,3,3,2,4,4,2,2,2,2.708333333
src12_hrc07.avi,3,1,2,1,2,4,1,3,2,1,2,2,2,2,3,2,4,2,2,4,4,2,1,3,2.291666667
src12_hrc10.avi,2,1,1,1,1,2,1,1,2,1,2,1,1,2,1,1,2,1,1,2,2,1,1,1,1.333333333
src12_hrc11.avi,4,5,4,5,5,4,5,5,4,5,5,5,5,4,4,5,4,4,5,5,5,4,4,5,4.583333333
src13_hrc00.avi,5,5,3,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,3,5,4.75
src13_hrc01.avi,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.041666667
src13_hrc02.avi,5,5,4,5,5,4,5,5,5,5,5,5,4,4,5,4,5,5,3,5,4,5,4,5,4.625
src13_hrc05.avi,3,3,3,3,4,3,2,2,4,3,4,3,2,3,3,3,4,4,3,4,5,4,2,4,3.25
src13_hrc08.avi,2,2,1,2,1,3,1,2,2,1,3,2,2,1,3,3,2,2,1,2,2,1,1,1,1.791666667
src13_hrc11.avi,4,3,2,3,3,5,3,3,3,2,3,4,3,2,4,4,5,4,3,5,4,4,2,3,3.375
src14_hrc00.avi,4,5,4,5,5,4,4,4,5,5,5,5,5,4,4,5,5,4,5,5,5,5,4,5,4.625
src14_hrc01.avi,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1.083333333
src14_hrc04.avi,3,3,3,3,3,2,2,3,3,3,4,3,2,2,3,3,4,3,3,3,3,4,2,5,3
src14_hrc05.avi,4,4,2,4,4,4,4,4,4,4,4,2,3,4,4,4,5,3,3,5,4,4,2,5,3.75
src14_hrc06.avi,2,2,1,1,1,3,1,1,2,1,3,2,1,2,2,2,1,2,1,2,2,1,1,1,1.583333333
src14_hrc09.avi,4,5,4,5,5,5,4,5,4,5,4,5,5,5,4,5,5,5,5,5,5,5,4,5,4.708333333
