,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,MOS
C7_balloons_R2_view_3.avi,3,4,3,4,3,3,5,4,2,3,3,4,2,3,4,3,3,3,3,5,3,3,3,3.304347826
C7_balloons_R2_view_3_blended.avi,3,4,4,4,2,3,4,3,2,3,2,4,2,3,4,3,3,3,3,3,3,3,4,3.130434783
C7_balloons_R6_view_3.avi,2,2,4,2,2,3,2,4,2,3,3,4,2,3,3,4,3,2,2,3,3,3,5,2.869565217
C7_balloons_R6_view_3_blended.avi,3,2,4,2,4,2,3,2,1,3,2,4,1,2,3,2,3,2,2,1,2,2,4,2.434782609
C7_balloons_R24_view_3.avi,2,4,3,4,5,5,5,5,2,4,5,4,4,5,4,2,5,3,4,5,4,5,5,4.086956522
C7_balloons_R24_view_3_blended.avi,1,4,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1.304347826
C5_balloons_R2_view_3.avi,2,4,3,3,3,3,4,3,3,3,3,4,3,4,4,3,2,2,3,5,2,3,3,3.130434783
C5_balloons_R2_view_3_blended.avi,2,4,3,4,4,3,4,4,2,3,3,4,1,4,3,3,3,2,3,3,2,2,2,2.956521739
C5_balloons_R6_view_3.avi,2,2,3,1,3,3,3,4,2,2,3,4,1,1,2,3,2,1,1,2,2,4,2,2.304347826
C5_balloons_R6_view_3_blended.avi,3,2,3,2,4,4,2,4,2,2,2,4,2,3,4,4,4,2,3,2,3,2,3,2.869565217
C5_balloons_R10_view_3.avi,1,4,3,2,1,2,2,3,1,2,1,1,1,1,1,1,2,1,1,3,2,3,2,1.782608696
C5_balloons_R10_view_3_blended.avi,1,3,1,2,3,2,1,1,1,3,1,2,2,2,2,1,4,2,1,2,1,2,1,1.782608696
C4_balloons_R1_view_3.avi,2,2,2,2,3,2,4,3,1,3,3,4,1,2,2,3,2,2,1,3,3,2,2,2.347826087
C4_balloons_R1_view_3_blended.avi,3,3,3,4,2,3,3,2,2,3,3,4,2,3,2,4,4,2,3,2,2,3,5,2.913043478
C4_balloons_R2_view_3.avi,3,2,3,4,2,3,3,2,1,2,3,1,2,2,1,2,2,1,1,1,1,2,2,2
C4_balloons_R2_view_3_blended.avi,2,3,4,2,4,3,4,3,2,3,3,2,2,3,3,4,3,1,2,3,1,3,2,2.695652174
C4_balloons_R3_view_3.avi,2,1,2,3,2,1,4,2,2,3,2,1,1,2,2,1,2,2,2,1,1,2,2,1.869565217
C4_balloons_R3_view_3_blended.avi,2,2,4,2,2,3,3,2,2,3,2,3,2,2,3,4,4,2,2,3,2,2,2,2.52173913
C6_balloons_R2_view_3.avi,2,2,3,3,3,3,4,4,2,3,2,3,1,3,3,3,3,2,2,4,2,3,3,2.739130435
C6_balloons_R2_view_3_blended.avi,2,3,3,4,3,4,3,4,2,3,4,2,2,2,3,4,4,2,2,5,3,3,3,3.043478261
C6_balloons_R6_view_3.avi,2,3,4,3,3,3,3,2,1,3,3,3,1,3,3,3,2,3,2,4,3,2,2,2.652173913
C6_balloons_R6_view_3_blended.avi,3,3,4,4,3,4,4,4,2,2,2,4,2,3,3,4,3,2,2,5,2,4,4,3.173913043
C6_balloons_R10_view_3.avi,2,1,3,2,2,2,2,1,1,2,3,2,2,3,1,1,1,1,1,2,1,2,2,1.739130435
C6_balloons_R10_view_3_blended.avi,3,3,4,4,3,3,4,3,2,3,4,4,1,3,3,4,2,2,2,3,2,2,2,2.869565217
Original_bookArrival_view_8.avi,3,3,3,3,3,3,4,4,2,3,3,2,2,3,4,3,3,1,2,3,3,2,2,2.782608696
Original_bookArrival_view_8_blended.avi,4,3,3,3,2,4,3,4,2,3,4,4,3,4,4,2,3,2,3,3,4,2,4,3.173913043
C1_bookArrival_R25_view_8.avi,3,3,3,2,2,3,4,3,2,3,2,1,2,2,3,3,3,2,3,2,3,2,2,2.52173913
C1_bookArrival_R25_view_8_blended.avi,4,3,3,3,2,4,4,2,2,3,3,2,2,2,4,3,3,2,3,4,3,3,2,2.869565217
C1_bookArrival_R35_view_8.avi,2,2,3,3,3,3,4,3,1,2,1,2,2,3,3,2,3,2,2,3,2,2,1,2.347826087
C1_bookArrival_R35_view_8_blended.avi,2,3,3,2,2,3,3,4,3,4,3,2,2,3,3,3,3,2,4,3,3,2,3,2.826086957
C1_bookArrival_R47_view_8.avi,1,1,2,2,3,2,4,2,1,2,1,1,2,1,2,2,3,1,1,2,2,2,1,1.782608696
C1_bookArrival_R47_view_8_blended.avi,3,3,4,2,3,3,4,4,1,3,3,2,2,3,3,2,3,2,2,3,4,1,3,2.739130435
C2_bookArrival_R25_view_8.avi,2,2,3,2,4,3,4,4,2,3,3,3,2,4,4,2,3,1,3,2,3,2,3,2.782608696
C2_bookArrival_R25_view_8_blended.avi,3,3,3,3,4,3,5,4,2,3,3,3,2,3,4,3,4,2,4,4,3,2,4,3.217391304
C2_bookArrival_R33_view_8.avi,2,2,3,2,2,2,4,5,2,3,3,2,1,3,3,2,3,2,3,3,2,2,2,2.52173913
C2_bookArrival_R33_view_8_blended.avi,3,3,2,3,3,3,4,3,2,3,2,2,2,3,3,2,4,2,3,3,3,3,2,2.739130435
C2_bookArrival_R47_view_8.avi,1,1,1,2,3,1,3,3,1,3,2,1,2,2,2,1,2,1,2,2,2,1,2,1.782608696
C2_bookArrival_R47_view_8_blended.avi,3,2,2,3,3,3,4,3,1,3,5,2,2,2,3,2,3,1,2,2,2,2,2,2.47826087
C3_bookArrival_R34_view_8.avi,2,3,4,3,3,2,5,5,3,3,2,3,2,2,4,3,3,2,3,3,3,3,4,3.043478261
C3_bookArrival_R34_view_8_blended.avi,2,3,4,3,3,3,5,4,3,4,4,3,2,3,4,4,4,3,4,4,3,3,5,3.47826087
C3_bookArrival_R45_view_8.avi,2,2,3,2,2,1,5,3,1,2,3,3,2,4,3,2,3,1,2,3,3,2,4,2.52173913
C3_bookArrival_R45_view_8_blended.avi,2,2,3,3,3,3,5,3,2,2,2,3,2,3,4,3,4,2,4,2,3,2,3,2.826086957
C3_bookArrival_R50_view_8.avi,2,1,2,1,1,1,5,1,1,2,1,1,1,1,3,2,2,1,2,3,1,2,2,1.695652174
C3_bookArrival_R50_view_8_blended.avi,2,2,3,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1.391304348
C7_bookArrival_R2_view_8.avi,2,3,3,4,2,4,5,4,2,2,3,2,2,3,4,3,3,2,3,4,2,3,2,2.913043478
C7_bookArrival_R2_view_8_blended.avi,2,3,3,3,3,3,5,4,3,3,2,3,2,4,4,4,3,2,4,2,3,2,2,3
C7_bookArrival_R6_view_8.avi,2,2,2,4,1,2,4,2,2,3,1,3,2,1,3,2,3,1,2,1,1,2,2,2.086956522
C7_bookArrival_R6_view_8_blended.avi,1,2,2,2,1,2,4,5,2,2,1,2,2,2,2,3,3,2,2,2,2,2,2,2.173913043
C7_bookArrival_R24_view_8.avi,4,4,5,3,3,4,5,5,5,4,3,5,3,4,5,5,5,5,5,5,5,4,4,4.347826087
C7_bookArrival_R24_view_8_blended.avi,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1.173913043
C5_bookArrival_R1_view_8.avi,2,2,3,3,2,3,4,3,3,2,3,2,3,3,4,3,3,2,3,3,3,2,2,2.739130435
C5_bookArrival_R1_view_8_blended.avi,2,2,3,2,2,3,4,4,3,2,2,4,3,3,3,4,3,1,3,2,3,3,4,2.826086957
C5_bookArrival_R6_view_8.avi,2,3,3,2,3,2,5,4,2,3,2,2,2,4,3,2,3,1,3,2,2,2,3,2.608695652
C5_bookArrival_R6_view_8_blended.avi,3,4,4,4,3,4,4,4,3,3,2,3,3,3,4,3,4,1,4,2,3,2,2,3.130434783
C5_bookArrival_R10_view_8.avi,1,2,3,1,1,1,4,1,1,2,2,2,2,1,3,1,3,1,1,3,1,3,1,1.782608696
C5_bookArrival_R10_view_8_blended.avi,1,2,2,2,1,1,2,2,1,2,2,3,2,1,3,1,3,1,1,1,3,2,2,1.782608696
C4_bookArrival_R1_view_8.avi,2,3,2,2,3,2,4,4,1,2,3,2,2,2,3,3,3,2,2,4,3,2,2,2.52173913
C4_bookArrival_R1_view_8_blended.avi,2,3,3,4,3,3,5,4,3,3,2,2,2,3,3,3,3,2,2,4,3,2,3,2.913043478
C4_bookArrival_R2_view_8.avi,2,3,2,2,2,2,4,4,1,2,3,2,3,2,3,1,2,1,2,2,2,2,2,2.217391304
C4_bookArrival_R2_view_8_blended.avi,1,2,3,2,3,3,4,2,2,3,2,3,2,2,3,2,3,2,2,1,2,2,2,2.304347826
C4_bookArrival_R3_view_8.avi,3,2,2,2,1,3,4,2,1,1,2,1,3,1,5,2,3,1,2,1,1,2,1,2
C4_bookArrival_R3_view_8_blended.avi,2,1,2,1,1,1,3,1,2,3,2,1,1,1,2,1,2,1,2,2,2,2,2,1.652173913
C6_bookArrival_R2_view_8.avi,2,3,3,3,3,3,3,3,2,3,3,2,2,3,4,4,3,1,3,2,3,2,4,2.782608696
C6_bookArrival_R2_view_8_blended.avi,2,3,3,3,2,3,4,5,2,3,3,4,3,4,4,3,3,2,3,2,3,3,3,3.043478261
C6_bookArrival_R6_view_8.avi,2,3,3,4,2,4,4,3,2,3,4,2,2,3,3,3,4,1,3,4,2,3,3,2.913043478
C6_bookArrival_R6_view_8_blended.avi,3,2,3,3,1,2,5,4,2,3,5,4,3,3,4,4,4,2,3,5,3,3,3,3.217391304
C6_bookArrival_R10_view_8.avi,2,3,3,2,2,3,3,3,2,3,2,2,3,3,4,2,3,2,3,3,3,2,3,2.652173913
C6_bookArrival_R10_view_8_blended.avi,2,2,4,3,2,3,3,4,2,3,2,2,2,3,4,4,3,3,2,2,3,2,2,2.695652174
Original_dancer_view_5.avi,4,4,5,5,4,4,5,3,3,4,3,5,3,4,5,3,5,4,5,5,4,3,4,4.086956522
Original_dancer_view_5_blended.avi,3,4,5,5,3,4,5,5,4,4,4,4,3,4,4,2,4,4,4,4,5,4,4,4
C1_dancer_R25_view_5.avi,3,3,3,3,2,3,4,4,3,3,2,3,3,2,3,3,3,2,2,3,2,3,2,2.782608696
C1_dancer_R25_view_5_blended.avi,3,3,3,2,3,3,3,4,1,2,4,2,3,3,3,2,3,2,2,3,2,2,2,2.608695652
C1_dancer_R35_view_5.avi,3,3,2,1,2,2,3,2,2,2,2,1,3,2,2,2,3,2,2,1,3,3,3,2.217391304
C1_dancer_R35_view_5_blended.avi,2,3,3,2,2,3,4,3,2,2,1,1,3,2,2,3,3,1,2,2,2,2,2,2.260869565
C1_dancer_R47_view_5.avi,2,2,2,2,1,3,4,2,1,2,2,2,2,2,2,1,1,1,1,4,2,2,1,1.913043478
C1_dancer_R47_view_5_blended.avi,2,2,2,2,1,3,2,3,2,2,2,1,2,2,2,2,3,2,2,3,2,2,2,2.086956522
C2_dancer_R25_view_5.avi,2,2,3,1,1,2,3,2,1,2,2,2,2,2,3,1,3,1,2,3,1,2,1,1.913043478
C2_dancer_R25_view_5_blended.avi,2,2,3,3,3,2,4,4,1,2,2,2,2,2,2,1,3,1,2,3,2,2,2,2.260869565
C2_dancer_R40_view_5.avi,2,2,1,2,1,2,2,1,1,2,2,1,2,1,2,1,3,1,2,2,1,2,1,1.608695652
C2_dancer_R40_view_5_blended.avi,2,3,2,2,1,2,3,3,2,2,1,2,2,2,1,1,2,1,2,2,2,2,1,1.869565217
C2_dancer_R47_view_5.avi,2,2,2,1,1,1,3,1,1,2,1,1,1,2,2,1,2,1,2,1,1,2,1,1.47826087
C2_dancer_R47_view_5_blended.avi,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,2,1,1,1,1,2,1,1.217391304
C3_dancer_R34_view_5.avi,2,3,3,2,1,2,4,1,2,2,2,2,2,2,2,2,3,2,2,4,1,2,1,2.130434783
C3_dancer_R34_view_5_blended.avi,2,2,2,1,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,4,2,2,1,2.086956522
C3_dancer_R45_view_5.avi,2,2,2,1,1,2,3,2,1,2,1,2,2,2,3,1,2,1,1,4,2,2,1,1.826086957
C3_dancer_R45_view_5_blended.avi,2,2,3,1,1,2,4,2,1,2,2,2,2,2,2,1,3,2,2,2,2,2,1,1.956521739
C3_dancer_R50_view_5.avi,1,2,2,1,3,2,4,1,2,2,2,2,2,2,2,2,3,2,2,3,1,2,1,2
C3_dancer_R50_view_5_blended.avi,2,2,2,1,1,2,3,1,1,2,2,1,1,1,2,2,2,1,1,2,2,2,2,1.652173913
C7_dancer_R2_view_5.avi,3,4,3,2,3,4,4,5,2,3,4,4,2,5,4,3,4,2,5,2,3,2,4,3.347826087
C7_dancer_R2_view_5_blended.avi,3,4,4,4,2,4,4,3,2,4,3,3,3,4,4,3,4,2,4,3,2,4,3,3.304347826
C7_dancer_R6_view_5.avi,3,3,3,3,2,2,3,2,2,3,2,2,2,2,3,2,3,1,2,2,3,3,2,2.391304348
C7_dancer_R6_view_5_blended.avi,3,4,3,3,2,3,4,3,2,3,2,3,2,3,2,3,3,1,2,3,2,3,3,2.695652174
C7_dancer_R24_view_5.avi,1,4,4,5,3,4,2,5,2,3,5,3,2,4,2,2,5,1,2,2,2,3,3,3
C7_dancer_R24_view_5_blended.avi,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,3,1,1,1,1,1,1,1.217391304
C5_dancer_R2_view_5.avi,1,2,1,1,1,2,2,2,1,2,1,1,1,1,1,1,2,1,2,1,2,2,1,1.391304348
C5_dancer_R2_view_5_blended.avi,1,1,2,1,1,1,1,3,1,1,1,2,1,1,3,1,2,1,1,1,1,1,1,1.304347826
C5_dancer_R6_view_5.avi,1,2,1,2,1,1,1,3,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1.304347826
C5_dancer_R6_view_5_blended.avi,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1.086956522
C5_dancer_R10_view_5.avi,1,1,2,1,1,3,1,1,1,2,2,2,1,1,1,1,3,1,2,1,1,2,2,1.47826087
C5_dancer_R10_view_5_blended.avi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C4_dancer_R1_view_5.avi,2,3,4,2,3,3,5,2,2,3,3,2,2,2,2,1,3,1,3,2,2,2,3,2.47826087
C4_dancer_R1_view_5_blended.avi,2,2,4,2,3,1,3,3,1,2,2,3,2,1,3,2,3,2,2,3,2,2,2,2.260869565
C4_dancer_R2_view_5.avi,2,2,1,1,1,1,3,1,1,2,1,1,2,1,2,1,2,1,2,1,1,2,1,1.434782609
C4_dancer_R2_view_5_blended.avi,2,2,3,1,1,2,3,2,1,2,3,1,1,1,2,2,2,2,2,2,1,2,1,1.782608696
C4_dancer_R3_view_5.avi,1,2,2,1,1,2,2,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1.304347826
C4_dancer_R3_view_5_blended.avi,2,2,2,1,1,2,3,1,1,2,1,1,1,1,2,1,2,1,2,1,1,2,1,1.47826087
C6_dancer_R2_view_5.avi,5,3,5,4,1,5,5,5,4,4,5,4,3,5,5,3,5,3,4,5,5,4,5,4.217391304
C6_dancer_R2_view_5_blended.avi,4,5,5,4,4,4,5,3,3,5,3,5,3,5,4,5,5,4,4,4,4,5,5,4.260869565
C6_dancer_R6_view_5.avi,2,3,4,2,3,3,4,4,2,3,4,3,2,4,4,4,4,2,4,4,5,3,3,3.304347826
C6_dancer_R6_view_5_blended.avi,4,4,5,3,3,4,5,3,3,3,4,3,2,4,4,3,4,3,5,5,4,3,4,3.695652174
C6_dancer_R10_view_5.avi,2,3,2,1,2,1,4,1,1,2,2,2,2,3,3,2,1,1,2,2,2,2,2,1.956521739
C6_dancer_R10_view_5_blended.avi,2,3,2,1,1,2,3,3,1,2,2,2,1,3,3,2,2,1,2,2,1,2,2,1.956521739
Original_gt_fly_view_5.avi,2,1,3,1,1,3,4,2,1,2,2,2,2,2,4,2,2,2,3,1,2,2,2,2.086956522
Original_gt_fly_view_5_blended.avi,2,2,2,2,2,3,3,3,2,2,2,1,1,3,3,2,3,1,2,1,2,2,3,2.130434783
C1_gt_fly_R25_view_5.avi,2,1,3,1,2,3,4,3,1,2,1,1,1,2,2,3,2,1,2,1,2,2,1,1.869565217
C1_gt_fly_R25_view_5_blended.avi,2,1,3,2,1,3,3,3,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,1.956521739
C1_gt_fly_R35_view_5.avi,2,1,3,1,1,3,3,2,1,2,2,2,1,2,3,3,2,1,1,2,2,2,2,1.913043478
C1_gt_fly_R35_view_5_blended.avi,2,1,3,1,1,2,4,3,2,1,2,2,2,2,2,3,1,1,1,1,1,2,1,1.782608696
C1_gt_fly_R47_view_5.avi,2,2,2,1,1,3,4,2,1,2,2,1,1,2,3,2,4,1,2,3,2,2,2,2.043478261
C1_gt_fly_R47_view_5_blended.avi,1,2,3,3,1,3,3,1,1,2,3,2,1,2,2,2,3,1,2,1,2,2,1,1.913043478
C2_gt_fly_R30_view_5.avi,2,3,4,2,1,4,4,4,1,2,3,2,2,3,2,3,3,2,3,3,2,2,2,2.565217391
C2_gt_fly_R30_view_5_blended.avi,2,2,3,2,3,2,4,2,2,2,2,2,1,2,1,2,3,1,3,3,3,2,1,2.173913043
C2_gt_fly_R40_view_5.avi,3,2,4,2,1,3,3,3,2,2,3,2,2,3,2,4,4,2,2,3,2,3,3,2.608695652
C2_gt_fly_R40_view_5_blended.avi,2,2,4,1,2,3,4,3,1,2,3,1,1,2,1,3,2,1,3,4,2,2,1,2.173913043
C2_gt_fly_R47_view_5.avi,2,2,5,1,1,3,3,3,1,2,3,1,1,3,1,3,3,1,3,1,2,2,1,2.086956522
C2_gt_fly_R47_view_5_blended.avi,3,1,3,1,1,1,4,2,1,3,1,1,1,1,2,2,1,1,1,3,1,2,1,1.652173913
C3_gt_fly_R34_view_5.avi,2,1,4,1,1,3,4,2,2,2,2,2,2,3,3,4,2,1,2,2,2,2,2,2.217391304
C3_gt_fly_R34_view_5_blended.avi,3,2,4,2,3,3,4,4,2,2,2,2,2,2,1,3,3,1,2,2,2,2,1,2.347826087
C3_gt_fly_R45_view_5.avi,2,2,4,3,2,4,4,4,2,2,3,2,2,4,3,2,4,3,3,3,2,2,4,2.869565217
C3_gt_fly_R45_view_5_blended.avi,3,2,3,1,2,3,3,4,1,2,2,2,2,1,2,3,1,1,2,2,2,2,1,2.043478261
C3_gt_fly_R50_view_5.avi,3,2,4,2,2,3,4,3,2,2,4,3,2,3,3,4,3,3,3,4,2,3,2,2.869565217
C3_gt_fly_R50_view_5_blended.avi,3,2,3,1,2,3,3,2,2,2,2,2,1,2,2,1,2,1,2,3,2,2,1,2
C7_gt_fly_R2_view_5.avi,2,1,3,3,2,4,3,3,2,3,3,2,3,3,4,3,2,2,3,1,2,3,3,2.608695652
C7_gt_fly_R2_view_5_blended.avi,1,2,4,2,1,3,3,1,1,2,3,4,2,2,3,2,3,1,2,4,4,2,2,2.347826087
C7_gt_fly_R6_view_5.avi,3,2,4,4,3,5,4,3,1,3,4,4,2,4,3,5,4,1,3,4,3,3,3,3.260869565
C7_gt_fly_R6_view_5_blended.avi,2,3,3,1,2,2,3,4,2,2,2,3,1,2,3,2,3,2,3,3,2,2,1,2.304347826
C7_gt_fly_R24_view_5.avi,1,5,5,5,4,4,4,5,2,4,3,5,3,2,4,2,5,2,4,5,5,5,5,3.869565217
C7_gt_fly_R24_view_5_blended.avi,1,4,1,4,3,1,1,1,1,1,1,4,1,2,1,1,3,1,1,1,1,2,1,1.652173913
C5_gt_fly_R2_view_5.avi,2,1,3,1,1,3,4,2,1,1,2,1,1,2,2,1,3,1,2,2,2,2,1,1.782608696
C5_gt_fly_R2_view_5_blended.avi,2,2,4,1,1,2,2,2,1,1,2,1,1,2,2,2,2,2,1,3,1,3,2,1.826086957
C5_gt_fly_R6_view_5.avi,2,3,2,1,1,4,4,2,2,2,3,1,2,2,2,2,3,2,2,2,3,3,3,2.304347826
C5_gt_fly_R6_view_5_blended.avi,1,2,1,1,1,1,3,2,1,2,2,2,1,2,1,1,2,1,1,1,1,2,1,1.434782609
C5_gt_fly_R10_view_5.avi,1,1,3,3,1,3,2,5,1,2,3,1,2,1,2,1,2,1,2,2,1,1,2,1.869565217
C5_gt_fly_R10_view_5_blended.avi,1,1,2,2,1,2,2,3,2,2,3,1,1,2,1,1,1,1,1,1,1,2,1,1.52173913
C4_gt_fly_R1_view_5.avi,2,2,3,3,1,3,3,2,2,2,3,2,2,3,3,3,2,1,3,3,2,2,2,2.347826087
C4_gt_fly_R1_view_5_blended.avi,2,2,3,4,1,2,3,3,2,2,2,1,1,3,3,4,3,1,2,2,2,2,1,2.217391304
C4_gt_fly_R2_view_5.avi,2,3,3,1,1,3,3,2,1,2,3,2,1,1,2,3,3,1,2,2,2,2,1,2
C4_gt_fly_R2_view_5_blended.avi,2,1,3,1,2,1,2,3,1,2,2,1,2,2,1,2,3,1,2,3,1,2,1,1.782608696
C4_gt_fly_R3_view_5.avi,2,2,3,2,1,3,3,2,1,2,2,1,2,1,2,3,1,1,2,2,1,2,2,1.869565217
C4_gt_fly_R3_view_5_blended.avi,2,2,1,1,1,2,3,1,1,2,2,1,1,1,1,2,2,1,1,2,1,2,1,1.47826087
C6_gt_fly_R2_view_5.avi,3,1,3,1,1,3,3,3,2,3,2,1,2,3,2,2,3,2,3,2,2,2,2,2.217391304
C6_gt_fly_R2_view_5_blended.avi,2,1,3,1,2,3,4,4,2,3,2,2,1,2,2,3,3,2,2,2,2,2,3,2.304347826
C6_gt_fly_R6_view_5.avi,2,1,3,3,1,4,4,2,2,3,2,2,2,3,3,3,2,2,2,2,2,2,2,2.347826087
C6_gt_fly_R6_view_5_blended.avi,2,2,4,2,1,3,4,4,2,2,1,1,2,3,2,3,3,2,2,2,3,2,2,2.347826087
C6_gt_fly_R10_view_5.avi,2,1,2,1,2,3,3,3,2,2,2,2,1,3,2,2,2,1,3,1,2,2,2,2
C6_gt_fly_R10_view_5_blended.avi,2,1,3,2,1,3,3,2,2,2,2,2,1,2,2,3,2,1,1,2,2,2,2,1.956521739
Original_kendo_view_3.avi,2,1,2,2,2,2,3,2,1,3,3,4,1,3,4,3,3,1,2,5,2,3,2,2.434782609
Original_kendo_view_3_blended.avi,3,2,4,4,4,4,5,4,4,3,5,4,2,4,4,4,5,2,3,4,4,3,4,3.695652174
C1_kendo_R25_view_3.avi,2,1,3,3,2,2,2,4,1,3,3,2,2,2,2,3,2,2,2,5,2,2,2,2.347826087
C1_kendo_R25_view_3_blended.avi,3,2,4,3,4,3,4,3,3,4,3,5,2,4,3,5,4,2,3,5,4,2,2,3.347826087
C1_kendo_R35_view_3.avi,2,1,3,1,3,1,2,1,2,2,4,1,1,2,2,2,2,1,1,3,2,2,2,1.869565217
C1_kendo_R35_view_3_blended.avi,4,2,3,3,4,4,4,3,2,3,3,4,1,5,4,4,4,1,2,5,3,4,2,3.217391304
C1_kendo_R47_view_3.avi,2,1,4,2,4,2,3,4,1,2,3,2,2,2,2,2,3,1,2,3,3,4,3,2.47826087
C1_kendo_R47_view_3_blended.avi,3,3,3,3,5,3,5,3,2,3,3,4,2,4,3,4,3,2,3,3,2,3,5,3.217391304
C2_kendo_R25_view_3.avi,3,2,3,1,5,3,2,4,2,4,3,3,3,2,3,3,2,3,2,2,3,3,4,2.826086957
C2_kendo_R25_view_3_blended.avi,3,4,3,2,4,4,5,5,4,3,2,5,2,4,3,4,5,2,4,5,3,3,3,3.565217391
C2_kendo_R35_view_3.avi,2,2,3,3,4,2,3,3,3,3,3,3,2,3,5,3,4,2,2,5,4,2,2,2.956521739
C2_kendo_R35_view_3_blended.avi,3,4,4,4,5,3,4,5,3,4,3,5,3,4,5,4,4,2,4,5,3,3,4,3.826086957
C2_kendo_R47_view_3.avi,3,1,3,2,2,2,4,2,2,3,4,2,2,3,3,2,3,2,3,2,2,3,3,2.52173913
C2_kendo_R47_view_3_blended.avi,4,2,3,4,5,4,4,4,2,3,3,5,3,3,3,5,4,2,3,2,3,3,3,3.347826087
C3_kendo_R34_view_3.avi,2,1,3,2,4,2,4,2,1,3,2,1,2,3,4,3,3,2,3,3,3,2,2,2.47826087
C3_kendo_R34_view_3_blended.avi,4,3,4,3,4,4,4,4,2,4,4,3,2,4,4,5,5,2,4,4,2,4,4,3.608695652
C3_kendo_R45_view_3.avi,2,2,3,2,3,3,3,3,2,2,1,2,1,3,3,5,3,2,2,5,3,4,2,2.652173913
C3_kendo_R45_view_3_blended.avi,3,1,4,2,3,2,5,3,2,3,2,4,3,3,4,5,4,3,3,5,3,3,5,3.260869565
C3_kendo_R50_view_3.avi,2,1,3,3,3,3,2,3,2,3,3,4,1,4,2,2,3,3,2,2,2,2,1,2.434782609
